"","wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId"
"374","Q2571617","Colombia national rugby union team","national rugby union team","1996-01-01",NA,"Seleccion de rugby de Colombia; Seleccion nacional de rugby de Colombia; Selección nacional de rugby de Colombia; Equipe de Colombie de rugby a XV; Nazionale di rugby XV della Colombia; ru 🇨🇴; ru col; tucanes; Reprezentacja Kolumbii w rugby mężczyzn; Seleção Colombiana de Râguebi",NA,"Colombia",NA,NA,NA,NA,NA,NA,NA,"Colombia_national_rugby_union_team","%C3%89quipe_de_Colombie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Colombia","Selecci%C3%B3n_de_rugby_de_Colombia",NA,NA
"375","Q2572572","Paraguay national rugby union team","national rugby union team",NA,NA,"Seleccion de rugby de Paraguay; Seleccion de rugby del Paraguay; Selección de rugby del Paraguay; Seleccion nacional de rugby de Paraguay; Selección nacional de rugby de Paraguay; Equipe du Paraguay de rugby a XV; Nazionale di rugby XV del Paraguay; ru pry; Seleção Paraguaia de Râguebi",NA,"Paraguay",NA,NA,NA,NA,NA,NA,NA,"Paraguay_national_rugby_union_team","%C3%89quipe_du_Paraguay_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Paraguay","Selecci%C3%B3n_de_rugby_de_Paraguay",NA,NA
"376","Q2573690","Algeria national rugby union team","national rugby union team",NA,NA,"Seleccion de rugby de Argelia; Nazionale di rugby XV dell'Algeria",NA,"Algeria",NA,NA,NA,NA,NA,NA,NA,"Algeria_national_rugby_union_team","%C3%89quipe_d%27Alg%C3%A9rie_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Algeria","Selecci%C3%B3n_de_rugby_de_Argelia",NA,NA
"377","Q2592934","Wombats RC","rugby union club",NA,NA,"Wombats Rugby Club",NA,"Austria",NA,NA,NA,NA,NA,NA,NA,"Wombats_RC",NA,NA,NA,NA,"http://dbpedia.org/resource/Wombats_RC"
"378","Q2625567","Castricumse Rugbyclub","rugby union club",NA,NA,NA,NA,"Netherlands",NA,NA,NA,NA,NA,NA,"120jr5y9",NA,NA,NA,NA,NA,NA
"379","Q2633484","Utrechtse Studenten Rugby Society","rugby union club",NA,NA,NA,NA,"Netherlands",NA,NA,NA,NA,NA,NA,"121d6f87",NA,NA,NA,NA,NA,NA
"382","Q2650954","SRC Thor","rugby union club",NA,NA,NA,NA,"Netherlands",NA,NA,NA,NA,NA,NA,"122zkfw1",NA,NA,NA,NA,NA,NA
"383","Q2700173","Groninger Studenten Rugby Club","rugby union club","1986-01-01",NA,"Rugbystuds, Groninger Studenten",NA,"Netherlands",NA,NA,NA,NA,NA,NA,NA,"Groninger_Studenten_Rugby_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Groninger_Studenten_Rugby_Club"
"384","Q2721746","Brazil national rugby union team","national rugby union team","1950-09-09",NA,"Tupi’s; Seleccion de rugby de Brasil; Seleccion de rugby del Brasil; Selección de rugby del Brasil; Seleccion nacional de rugby de Brasil; Selección nacional de rugby de Brasil; Nazionale di rugby XV del Brasile; ru bra; Reprezentacja Brazylii w rugby mężczyzn; Seleção Brasileira de Râguebi; Seleção Brasileira de Rúgbi; Seleção brasileira de rugby; Seleção Brasileira de Rugby Feminino; Seleção Brasileira de Rugby Masculino; Selecção brasileira de rugby",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Brazil_national_rugby_union_team","%C3%89quipe_du_Br%C3%A9sil_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Brasile","Selecci%C3%B3n_de_rugby_de_Brasil","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%96%E3%83%A9%E3%82%B8%E3%83%AB%E4%BB%A3%E8%A1%A8",NA
"385","Q2722488","Norway national rugby union team","national rugby union team",NA,NA,"Equipe de Norvege de rugby a XV; Nazionale di rugby XV della Norvegia; Det norske herrelandslaget i rugby union",NA,"Norway",NA,NA,NA,NA,NA,NA,NA,"Norway_national_rugby_union_team","%C3%89quipe_de_Norv%C3%A8ge_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Norvegia",NA,NA,NA
"386","Q2727012","C.F. Os Belenenses (rugby union)","rugby union team","1928-01-01",NA,"Clube de Futebol Os Belenenses; Belenenses; Clube de Futebol; «Os Belenenses»",NA,"Portugal",NA,NA,"Estádio do Restelo",NA,NA,NA,NA,"C.F._Os_Belenenses_(rugby_union)","Clube_de_Futebol_Os_Belenenses_(rugby_%C3%A0_XV)",NA,NA,NA,"http://dbpedia.org/resource/C.F._Os_Belenenses_(rugby_union)"
"387","Q2733519","Morocco national rugby union team","national rugby union team","1931-12-15",NA,"المنتخب المغربي لركبي; ركبي مغربي; nazionale di rugby XV del Marocco; nazionale marocchina di rugby; ru mar; Reprezentacja Maroka w rugby mężczyzn; Lions de l'Atlas; Atlas Lions",NA,"Morocco",NA,NA,NA,NA,NA,NA,NA,"Morocco_national_rugby_union_team","%C3%89quipe_du_Maroc_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Marocco","Selecci%C3%B3n_de_rugby_de_Marruecos","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%A2%E3%83%AD%E3%83%83%E3%82%B3%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Morocco_national_rugby_union_team"
"388","Q2734570","CR El Salvador","rugby union team","1960-01-01",NA,"El Salvador Rugby; Cetransa; Cetransa El Salvador; Cetransa salvador; Club de Rugby El Salvador; Chamizos; SilverStorm El Salvador; los chamizos","Spanish Rugby Federation","Spain","División de Honor de Rugby",NA,"Estadio Pepe Rojo","5000","Valladolid",NA,NA,"CR_El_Salvador","El_Salvador_Rugby","Club_de_Rugby_El_Salvador","Club_de_Rugby_El_Salvador","CR%E3%82%A8%E3%83%AB%E3%83%BB%E3%82%B5%E3%83%AB%E3%83%90%E3%83%89%E3%83%BC%E3%83%AB","http://dbpedia.org/resource/CR_El_Salvador"
"389","Q2735810","Sweden national rugby union team","national rugby union team","1949-10-23",NA,"Blågult; Equipe de Suede de rugby a XV; Nazionale di rugby XV della Svezia; nazionale svedese di rugby; Reprezentacja Szwecji w rugby mężczyzn; Sveriges herrlandslag i rugby",NA,"Sweden",NA,NA,NA,NA,NA,NA,NA,"Sweden_national_rugby_union_team","%C3%89quipe_de_Su%C3%A8de_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Svezia","Selecci%C3%B3n_de_rugby_de_Suecia",NA,NA
"390","Q2740626","S.L. Benfica","rugby union team","1924-12-26",NA,"SL Benfica; SL Benfica rugby; S.L. Benfica (rugby union); Benfica; Associação SLB Rugby; Águias",NA,"Portugal","Campeonato Português de Rugby",NA,NA,NA,"Lisbon",NA,NA,"S.L._Benfica_(rugby_union)","Sport_Lisboa_e_Benfica_(rugby_%C3%A0_XV)","Sport_Lisboa_e_Benfica_(rugby_a_15)",NA,NA,"http://dbpedia.org/resource/S.L._Benfica_(rugby_union)"
"391","Q2740841","AEIS Agronomia","rugby union team","1935-01-01",NA,"Associacao de Estudantes do Instituto Superior Agronomia; Agronomia; Associação de Estudantes do Instituto Superior de Agronomia",NA,"Portugal",NA,NA,"Tapada da Ajuda",NA,"Lisbon",NA,NA,"AEIS_Agronomia","Associa%C3%A7%C3%A3o_de_Estudantes_do_Instituto_Superior_Agronomia",NA,NA,NA,"http://dbpedia.org/resource/AEIS_Agronomia"
"392","Q2740865","Clube de Rugby de Arcos de Valdevez","rugby union team","1981-01-01",NA,"Club de Rugby de Arcos de Valdevez; CRAV",NA,"Portugal",NA,NA,NA,NA,"Arcos de Valdevez",NA,NA,"Clube_de_Rugby_de_Arcos_de_Valdevez","Clube_de_Rugby_de_Arcos_de_Valdevez",NA,NA,NA,"http://dbpedia.org/resource/Clube_de_Rugby_de_Arcos_de_Valdevez"
"398","Q2819481","ASUB Waterloo","rugby union team","1959-01-01",NA,"ASUB Rugby Waterloo; proudtobeblue",NA,"Belgium",NA,NA,NA,NA,NA,NA,NA,"ASUB_Waterloo","ASUB_Rugby_Waterloo",NA,NA,NA,"http://dbpedia.org/resource/ASUB_Waterloo"
"399","Q2819484","RSV Köln","rugby union team","1951-01-01",NA,"ASV Köln; ASV Cologne; Cologne Crusaders; Cologne Crushers; Rugby-Sport-Verein Köln e. V.; Rugby-Sport-Verein Köln e.V.; Rugby-Sport-Verein Köln",NA,"Germany","Rugby-Bundesliga",NA,NA,NA,NA,NA,NA,"RSV_K%C3%B6ln","RSV_K%C3%B6ln",NA,NA,NA,"http://dbpedia.org/resource/RSV_Köln"
"401","Q2822078","Abu Dhabi Harlequins","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abu_Dhabi_Harlequins","Abu_Dhabi_Harlequins",NA,NA,NA,"http://dbpedia.org/resource/Abu_Dhabi_Harlequins"
"402","Q2827226","AgroUniversity Kazan","rugby union club","1967-01-01",NA,"«Стрела-Агро»; Агроуниверситет; Strela-Agro Kazan; Strela; Регбийный клуб «Стрела» Казань",NA,"Russia",NA,NA,NA,NA,NA,NA,NA,"Strela-Agro_Kazan","Strela_Kazan",NA,NA,NA,"http://dbpedia.org/resource/Strela-Agro_Kazan"
"415","Q2868218","Academica Coimbra – rugby","rugby union team","1955-01-01",NA,"AA Coimbra; Associação Académica Coimbra Rugby; Associacao Academica de Coimbra (rugby a XV); Associação académica de coimbra (rugby à xv); Academica Coimbra (rugby)",NA,"Portugal","Campeonato Português de Rugby",NA,"Estádio Municipal Sérgio Conceição","8000",NA,NA,NA,"Associa%C3%A7%C3%A3o_Acad%C3%A9mica_de_Coimbra_(rugby_union)","Associa%C3%A7%C3%A3o_Acad%C3%A9mica_de_Coimbra_(rugby_%C3%A0_XV)","Associa%C3%A7%C3%A3o_Acad%C3%A9mica_de_Coimbra_(rugby_a_15)",NA,NA,NA
"416","Q2869022","Athens RFC","rugby union team","2004-01-01",NA,"Athens Rugby Football Club",NA,"Greece",NA,NA,NA,NA,NA,NA,NA,"Athens_RFC","Athens_RFC",NA,NA,NA,"http://dbpedia.org/resource/Athens_RFC"
"417","Q2870092","Attica Springboks RFC","rugby union team","2000-01-01",NA,"Attica Springboks; Springboks; Attica Springboks Rugby Football Club",NA,"Greece",NA,NA,NA,NA,NA,NA,NA,"Attica_Springboks_RFC","Attica_Springboks_RFC",NA,NA,NA,"http://dbpedia.org/resource/Attica_Springboks_RFC"
"421","Q2873463","Avenir sportif de M'saken","rugby union club","1991-01-01",NA,NA,NA,"Tunisia",NA,NA,NA,NA,"M'saken",NA,"121w1h9s",NA,"Avenir_sportif_de_M%27saken",NA,NA,NA,NA
"422","Q2877524","BUC St Josse","rugby union team",NA,NA,"Brussels University Club; Brussels University Club Saint-Josse; BUC Rugby Club; Saint-Josse RC; Saint-Josse Rugby; Saint-Josse Rugby Club; BUC Saint-Josse; Brussels University Club Saint-Josse Rugby Club",NA,"Belgium",NA,NA,NA,NA,NA,NA,NA,"BUC_St_Josse","BUC_Saint-Josse_Rugby_Club",NA,NA,NA,"http://dbpedia.org/resource/BUC_St_Josse"
"431","Q2896859","Bera Bera RT","rugby union team","1983-01-01",NA,"Akaba Bera Bera; Atlético Bera Bera; Akaba Bera-Bera; Atletico Bera Bera; Bera bera rugby taldea; Bera-Bera Rugby Taldea; AVK Bera Bera",NA,"Spain","División de Honor de Rugby",NA,NA,NA,"San Sebastián",NA,NA,"Bera_Bera_RT","Bera_Bera_Rugby",NA,"Bera_Bera_Rugby_Taldea",NA,"http://dbpedia.org/resource/Bera_Bera_RT"
"432","Q2897277","Berliner SV 92 Rugby","rugby union team","1892-01-01",NA,"Berliner SV 1892 Rugby; Berliner Sport-Verein 1892 e.V.",NA,"Germany","Rugby-Bundesliga",NA,NA,NA,NA,NA,NA,"Berliner_SV_1892_Rugby","Berliner_SV_92",NA,NA,NA,"http://dbpedia.org/resource/Berliner_SV_1892_Rugby"
"436","Q2908794","Bohemian Rugby Football Club","rugby union club","1922-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1229knr_",NA,"Bohemian_Rugby_Football_Club",NA,NA,NA,NA
"437","Q2909126","Boitsfort Rugby Club","rugby union team","1970-01-01",NA,"Boitsfort RC; Boitsfort Rugby; RC Boitsfort; Rugby Boitsfort; Rugby Club Boitsfort",NA,"Belgium",NA,NA,NA,NA,NA,NA,NA,"Boitsfort_Rugby_Club","Boitsfort_Rugby_Club",NA,NA,NA,"http://dbpedia.org/resource/Boitsfort_Rugby_Club"
"438","Q2911617","Boston Irish Wolfhounds","rugby union club","1989-01-01",NA,"Boston Irish Wolfhounds RFC; Wolfhounds; Boston Irish Wolfhounds Rugby Football Club",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Boston_Irish_Wolfhounds","Boston_Irish_Wolfhounds",NA,NA,NA,"http://dbpedia.org/resource/Boston_Irish_Wolfhounds"
"441","Q2925718","British Columbia RU","rugby union team","1889-01-01",NA,"B.C.R.U.; BCRU; British Columbia Rugby Union; ラグビー女子ブリティッシュコロンビア州代表",NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"British_Columbia_Rugby_Union","British_Columbia_Rugby_Union",NA,NA,NA,NA
"442","Q2926274","Brothers Old Boys","rugby union team","1905-01-01",NA,"Brothers Rugby Club; 20",NA,"Australia","Queensland Premier Rugby",NA,NA,NA,NA,NA,NA,"Brothers_Rugby_Club","Brothers_Old_Boys",NA,NA,"%E3%83%96%E3%83%A9%E3%82%B6%E3%83%BC%E3%82%BARC","http://dbpedia.org/resource/Brothers_Old_Boys"
"444","Q2927879","Bulava Taganrog","rugby union club","1960-01-01",NA,NA,NA,"Russia",NA,NA,NA,NA,NA,NA,"1xy2_xr_",NA,"Bulava_Taganrog",NA,NA,NA,NA
"445","Q2928543","Burnaby Lake Rugby Club","rugby union team","1994-01-01",NA,"Burnaby Lake RFC; Burnaby Lake Rugby","Rugby Canada","Canada",NA,NA,NA,NA,"Burnaby",NA,NA,"Burnaby_Lake_Rugby_Club","Burnaby_Lake_Rugby_Club",NA,NA,NA,"http://dbpedia.org/resource/Burnaby_Lake_Rugby_Club"
"446","Q2929903","S.S. Juventus Roma","defunct rugby union club","1905-01-01",NA,"Societa Sportiva Juventus Roma; Società Sportiva Juventus Roma; SS Juventus Roma",NA,"Italy",NA,NA,NA,NA,"Roma",NA,"1230jwmb",NA,NA,"Societ%C3%A0_Sportiva_Juventus_Roma",NA,NA,NA
"447","Q2932002","CSM Baia Mare","rugby union club","1977-01-01",NA,"CSM Știința Baia Mare; Alb-albaștri (The White and Blues); Băimărenii (The People of Baia Mare); Maramureșenii (The People of Maramureș); Zimbriilor (The Bisons); Știința (The Science)''; Știința Baia Mare; Clubul Sportiv Municipal Știința Baia Mare; Alb-albaștri; Băimărenii; Maramureșenii; Zimbriilor; Știința ''",NA,"Romania",NA,NA,NA,NA,NA,NA,NA,"CSM_%C8%98tiin%C8%9Ba_Baia_Mare","CSM_Baia_Mare","Clubul_Sportiv_Municipal_%C5%9Etiin%C5%A3a_Baia_Mare",NA,"CSM%E3%82%B7%E3%83%A5%E3%83%86%E3%82%A3%E3%82%A4%E3%83%B3%E3%83%84%E3%82%A1%E3%83%BB%E3%83%90%E3%83%A4%E3%83%BB%E3%83%9E%E3%83%BC%E3%83%AC","http://dbpedia.org/resource/CSM_Știința_Baia_Mare"
"451","Q2933721","Caldas Rugby Clube","rugby union team",NA,NA,"Caldas",NA,"Portugal",NA,NA,NA,NA,NA,NA,NA,"Caldas_Rugby_Clube","Caldas_Rugby_Clube",NA,NA,NA,"http://dbpedia.org/resource/Caldas_Rugby_Clube"
"453","Q2933908","Calgary Mavericks","rugby union team","1960-01-01",NA,"The Mavericks; Calgary Mavericks Rugby Football Club",NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Calgary_Mavericks","Calgary_Mavericks",NA,NA,NA,"http://dbpedia.org/resource/Calgary_Mavericks"
"455","Q2940173","Carrasco Polo Club","rugby union club","1933-01-01",NA,NA,NA,"Uruguay",NA,NA,NA,NA,NA,NA,NA,"Carrasco_Polo_Club","Carrasco_Polo_Club",NA,"Carrasco_Polo_Club","%E3%82%AB%E3%83%A9%E3%82%B9%E3%82%B3%E3%83%BB%E3%83%9D%E3%83%AD%E3%83%BB%E3%82%AF%E3%83%AB%E3%83%96",NA
"457","Q2941339","Castaway Wanderers","rugby union team","1994-01-01",NA,"Castaway Wanderers RFC; Castaway Wanderers Rugby Football Club; Castaways RC; Oak Bay Wanderers; Castaway RFC; ",NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Castaway_Wanderers_RFC","Castaway_Wanderers_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Castaway_Wanderers_RFC"
"458","Q2946149","Centro Desportivo Universitário de Lisboa","rugby union team","1952-01-01",NA,"CDUL; Centro Desportivo Universitario de Lisboa",NA,"Portugal",NA,NA,NA,NA,"Lisbon",NA,NA,"Centro_Desportivo_Universit%C3%A1rio_de_Lisboa","Centro_Desportivo_Universitario_Lisboa",NA,"Centro_Desportivo_Universit%C3%A1rio_de_Lisboa",NA,"http://dbpedia.org/resource/Centro_Desportivo_Universitário_de_Lisboa"
"459","Q2946150","Centro Desportivo Universitário do Porto","rugby union team","1964-01-01",NA,"Centro Desportivo Universitario do Porto; Centro Desportivo Universitario Porto; Centro Desportivo Universitário Porto; CDUP",NA,"Portugal",NA,NA,NA,NA,NA,NA,"11dxpg9yr7","Centro_Desportivo_Universit%C3%A1rio_do_Porto","Centro_Desportivo_Universit%C3%A1rio_do_Porto",NA,NA,NA,"http://dbpedia.org/resource/Centro_Desportivo_Universitário_do_Porto"
"461","Q2961176","Charrua Rugby Clube","rugby union club",NA,NA,"Charrua",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Charrua_Rugby_Clube","Charrua_Rugby_Clube",NA,NA,NA,"http://dbpedia.org/resource/Charrua_Rugby_Clube"
"462","Q2972340","Real Ciencias Rugby Club","rugby union team","1972-01-01",NA,"Ciencias Enerside; Club de Rugby Ciencias; Ciencias RC; Ciencias Sevilla Rugby Club; CR Ciencias; El Monte Ciencias Club de Rugby; El Monte Ciencias CR; Real Ciencias; Ciencias Rugby Club; Labiana Real Ciencias; Ciencias Sevilla CR; Ciencias Fundación Cajasol; Ciencias Club de Rugby",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,"Ciencias_Sevilla_CR","Real_Ciencias_Rugby_Club",NA,"Real_Ciencias_Rugby_Club",NA,"http://dbpedia.org/resource/Ciencias_Sevilla_CR"
"464","Q2979803","Alcobendas Rugby","rugby union team","2003-01-01",NA,"Club Deportivo Básico Alcobendas Rugby",NA,"Spain",NA,NA,"Campo de rugby Las Terrazas",NA,"Cholula, Puebla",NA,NA,"Alcobendas_Rugby","Club_Alcobendas_rugby",NA,"Club_Alcobendas_Rugby",NA,"http://dbpedia.org/resource/Alcobendas_Rugby"
"466","Q2980034","Club Africain","rugby union club","1974-01-01","1988-01-01",NA,NA,"Tunisia",NA,NA,NA,NA,"Tunis",NA,"122r2qbd",NA,"Club_africain_(rugby_%C3%A0_XV)",NA,NA,NA,NA
"468","Q2980067","CA Saint-Étienne Loire Sud Rugby","rugby union team","1908-01-01","2016-08-01","CA Saint-Etienne Loire Sud Rugby; Club Athletique de Saint-Etienne Loire Sud rugby; CASE; CASE Loire sud rugby; CA Saint-Étienne; Club de rugby de SAINT-ETIENNE, RCSE42",NA,"France",NA,NA,"Stade Etivallière",NA,"Saint-Étienne",NA,NA,"CA_Saint-%C3%89tienne_Loire_Sud_Rugby","Club_athl%C3%A9tique_de_Saint-%C3%89tienne_Loire_sud_rugby",NA,NA,NA,"http://dbpedia.org/resource/CA_Saint-Étienne_Loire_Sud_Rugby"
"470","Q2980131","CR Liceo Francés","rugby union team","1968-01-01",NA,"CR Liceo Frances; Club de Rugby Liceo Frances; Club de rugby liceo francés; C.R Liceo Francés; Liceo Francés",NA,"Spain",NA,NA,NA,NA,"Madrid",NA,NA,"CR_Liceo_Franc%C3%A9s","Club_de_Rugby_Liceo_Franc%C3%A9s",NA,"Club_de_Rugby_Liceo_Franc%C3%A9s",NA,"http://dbpedia.org/resource/CR_Liceo_Francés"
"476","Q2980359","C. R. Técnico","rugby union team","1963-01-01",NA,"C. R. Tecnico; Clube de Rugby do Tecnico - Instituto Superior Tecnico de Lisboa; Clube de rugby do técnico - instituto superior técnico de lisboa; Técnico; Associação de Estudantes do Instituto Superior Técnico",NA,"Portugal",NA,NA,NA,NA,NA,NA,NA,"C._R._T%C3%A9cnico","Clube_de_Rugby_do_T%C3%A9cnico",NA,NA,NA,"http://dbpedia.org/resource/C._R._Técnico"
"479","Q2996894","Coq Mosan","rugby union team","1967-01-01",NA,"Rugby Coq mosan",NA,"Belgium",NA,NA,NA,NA,NA,NA,NA,"Coq_Mosan","Coq_mosan",NA,NA,NA,"http://dbpedia.org/resource/Coq_Mosan"
"482","Q3003159","Crociati Rugby Football Club","defunct rugby union club","2010-01-01","2014-01-01","Crociati Rugby Parma 1931; Crociati Rugby","Italian Rugby Federation","Italy",NA,NA,NA,NA,NA,NA,"121k2w98",NA,"Crociati_Rugby_Football_Club","Crociati_Rugby_Football_Club","Crociati_Rugby",NA,NA
"484","Q3019420","Tamariba Club","rugby union club",NA,NA,"タマリバクラブ",NA,"Japan",NA,NA,NA,NA,NA,NA,NA,"Tamariba_Club",NA,NA,NA,"%E7%A5%9E%E5%A5%88%E5%B7%9D%E3%82%BF%E3%83%9E%E3%83%AA%E3%83%90%E3%82%AF%E3%83%A9%E3%83%96",NA
"486","Q3020248","Rugby Club Walferdange","rugby union team","1990-01-01",NA,"Rugby Club Walfer; Walferdange Rugby De Renert",NA,"Luxembourg",NA,NA,NA,NA,NA,NA,NA,"Rugby_Club_Walferdange","De_Renert_Walferdange",NA,NA,NA,"http://dbpedia.org/resource/Rugby_Club_Walferdange"
"488","Q3028258","CS Dinamo București","rugby union club","1949-01-01",NA,"CS Dinamo București (rugby union); Alb-roșii (The White and Reds); Bulldogi (The Bulldogs); Dinamo București; Dinamoviștii; Clubul Sportiv Dinamo București; Alb-roșii; Bulldogi",NA,"Romania",NA,NA,NA,NA,NA,NA,NA,"CS_Dinamo_Bucure%C8%99ti_(rugby_union)","Dinamo_Bucarest_(rugby_%C3%A0_XV)","Dinamo_Rugby_Bucure%C8%99ti",NA,"CS%E3%83%87%E3%82%A3%E3%83%8A%E3%83%A2%E3%83%BB%E3%83%96%E3%82%AF%E3%83%AC%E3%82%B7%E3%83%A5%E3%83%86%E3%82%A3","http://dbpedia.org/resource/CS_Dinamo_București_(rugby_union)"
"502","Q3055031","Entente sportive Nanterre","rugby union club",NA,NA,NA,NA,"France",NA,NA,NA,NA,"Nanterre",NA,"11x7vsn18",NA,"Racing_Nanterre_Rugby",NA,NA,NA,NA
"504","Q3063145","FC St. Pauli Rugby","rugby union team","1933-01-01",NA,NA,NA,"Germany","Rugby-Bundesliga",NA,NA,NA,NA,NA,NA,"FC_St._Pauli_Rugby","FC_St._Pauli_Rugby",NA,NA,NA,"http://dbpedia.org/resource/FC_St._Pauli_Rugby"
"505","Q3071726","Fiji Barbarians","rugby union team","2006-01-01",NA,NA,NA,"Fiji",NA,NA,NA,NA,NA,NA,NA,"Fiji_Barbarians","Fiji_Barbarians",NA,NA,NA,NA
"506","Q3071728","Fiji Warriors","second national rugby union teams","2006-01-01",NA,"Figi XV; Fiji XV; ru a fji; フィジーウォリアーズ; Warriors, Fiji A",NA,"Fiji",NA,NA,NA,NA,NA,NA,NA,"Fiji_Warriors","Fiji_Warriors",NA,"Fiji_Warriors","%E3%83%95%E3%82%A3%E3%82%B8%E3%83%BC%E3%83%BB%E3%82%A6%E3%82%A9%E3%83%AA%E3%82%A2%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Fiji_Warriors"
"507","Q3071807","Fili Moscow","rugby union club","1967-01-01",NA,"Регбийный клуб «Фили»",NA,"Russia",NA,NA,NA,NA,NA,NA,NA,"Fili_Moscow","Fili_Moscou",NA,NA,NA,"http://dbpedia.org/resource/Fili_Moscow"
"515","Q3086675","Fraser Valley Venom","rugby union team","1972-01-01",NA,"Venom, Valley Venom; Fraser Valley Venom Rugby Football Club",NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Fraser_Valley_Venom","Fraser_Valley_Venom_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Fraser_Valley_Venom"
"520","Q3104686","Getxo Rugby Taldea","rugby union team","1975-01-01",NA,"Getxo Errugbia; Getxo R.T.; Getxo Artea RT; Getxo Artea",NA,"Spain",NA,NA,NA,NA,NA,NA,NA,"Getxo_Artea_RT","Getxo_Artea_Rugby_Taldea",NA,"Getxo_Rugby_Taldea","%E3%82%B2%E3%83%81%E3%83%A7%E3%83%BB%E3%82%A2%E3%83%AB%E3%83%86%E3%82%A2RT","http://dbpedia.org/resource/Getxo_Artea_RT"
