"","wikidataId","fullName","type","inceptionDate","altNames","terminationDate","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","AllRugbyIDs","GoogleKnowlIDs","articleEn","articleFr","articleIt","articleEs","articleJa","dbpediaId"
"2596","Q25110963","Spain national under-20 rugby union team","rugby union team",NA,NA,NA,NA,"Spain",NA,NA,NA,NA,NA,NA,"11cn3v9zr5","Spain_national_under-20_rugby_union_team","%C3%89quipe_d%27Espagne_de_rugby_%C3%A0_XV_des_moins_de_20_ans",NA,"Selecci%C3%B3n_juvenil_de_rugby_de_Espa%C3%B1a","U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%B9%E3%83%9A%E3%82%A4%E3%83%B3%E4%BB%A3%E8%A1%A8",NA
"2600","Q25221618","Rugby Unión Xerez","rugby union club","1992-01-01","Club de Rugby Xerez Deportivo FC; CRUXE DFC; Clube Rugby Xerez Deportivo Fútbol Club",NA,NA,"Spain",NA,NA,NA,NA,NA,NA,"11cn9__44_","Rugby_Uni%C3%B3n_Xerez",NA,NA,"Rugby_Uni%C3%B3n_Xerez",NA,"http://dbpedia.org/resource/Club_de_Rugby_Xerez_Deportivo_FC"
"2602","Q25344885","Rugbyfélag Reykjavíkur (Reykjavík Raiders)","rugby union team",NA,"RFC Raiders; Rugby Football Club Raiders",NA,NA,"Iceland",NA,NA,NA,NA,NA,NA,"11cn3gv6z0","Rugbyf%C3%A9lag_Reykjav%C3%ADkur",NA,NA,NA,NA,"http://dbpedia.org/resource/RFC_Raiders"
"2603","Q25348871","UR Almería","rugby union club",NA,"Unión Rugby Almería Playcar",NA,NA,"Spain",NA,NA,NA,NA,NA,NA,"11bx1z4xbv","UR_Almer%C3%ADa",NA,NA,NA,NA,"http://dbpedia.org/resource/UR_Almería"
"2605","Q25382139","Stade oranais","rugby union team","2007-01-01",NA,NA,NA,"Algeria",NA,NA,NA,NA,NA,NA,"11bxfvlzr4",NA,"Stade_oranais",NA,NA,NA,NA
"2606","Q25393900","Flagman Rugby Club","rugby union club","2011-01-01",NA,NA,NA,"Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2607","Q25395988","Club athlétique des sports généraux","rugby union team","1903-01-01",NA,"1995-05-15",NA,"France",NA,NA,"Stade Jean-Bouin",NA,"Paris",NA,"11cmcycv4f",NA,"Club_athl%C3%A9tique_des_sports_g%C3%A9n%C3%A9raux_(rugby_%C3%A0_XV)",NA,NA,NA,NA
"2608","Q25421425","Clube e Escola de Rugby Samambaia","rugby union team",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"11bx1g1ry5",NA,NA,NA,NA,NA,NA
"2613","Q25509373","Olímpico RC","rugby union club","1964-01-01","Olímpico Rugby Club",NA,NA,"Spain",NA,NA,NA,NA,"Pozuelo de Alarcón",NA,"11bw6s_r86","Ol%C3%ADmpico_RC",NA,NA,"Ol%C3%ADmpico_Rugby_Club",NA,"http://dbpedia.org/resource/Olímpico_RC"
"2614","Q26267366","Rugby Club Waterland","rugby union club",NA,NA,NA,NA,"Netherlands",NA,NA,NA,NA,NA,NA,"11c0rhfyxd",NA,NA,NA,NA,NA,NA
"2615","Q26760329","Japan national wheelchair rugby team","national rugby union team",NA,NA,NA,NA,"Japan",NA,NA,NA,NA,NA,NA,"11c15ctcg8","Japan_national_wheelchair_rugby_team",NA,NA,NA,"%E8%BB%8A%E3%81%84%E3%81%99%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E6%97%A5%E6%9C%AC%E4%BB%A3%E8%A1%A8",NA
"2617","Q27897387","Veltener RC Empor 1969","rugby union club",NA,NA,NA,NA,"Germany",NA,NA,NA,NA,"Velten",NA,NA,NA,NA,NA,NA,NA,NA
"2624","Q28163055","Club Atlético Ducilo","rugby union club","1938-11-18",NA,NA,NA,"Argentina",NA,NA,NA,NA,"Berazategui",NA,"11c5xlrmgw","Club_Atl%C3%A9tico_Ducilo",NA,NA,NA,NA,NA
"2625","Q28195271","Old Spierians","rugby union team","1890-01-01","Old Spierians RFC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11c2pl_vmc","Old_Spierians",NA,NA,NA,NA,"http://dbpedia.org/resource/Old_Spierians"
"2627","Q28223950","Australian Barbarians","rugby union team","1957-01-01","Australian Barbarians Rugby Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11c0q_cmym","Australian_Barbarians",NA,NA,NA,NA,"http://dbpedia.org/resource/Australian_Barbarians"
"2628","Q28230092","Ilirët Rugby Club","rugby union club",NA,"Klubi i Regbisë Ilirët",NA,NA,"Albania",NA,NA,NA,NA,NA,NA,"11c562k091","Ilir%C3%ABt_Rugby_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Ilirët_Rugby_Club"
"2629","Q28233081","Saskatoon Wild Oats RFC","rugby union club",NA,"Saskatoon Wild Oats R.F.C; ; Saskatoon Wild Oats Rugby Football Club",NA,NA,"Canada",NA,NA,NA,NA,NA,NA,"11cs2wyz9r","Saskatoon_Wild_Oats_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Saskatoon_Wild_Oats_RFC"
"2633","Q28407529","Hutchesons' GSFP","rugby union club","1923-01-01","Hutchesons' Grammar School Former Pupils Rugby Football Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11c2phf7gw","Hutchesons%27_GSFP",NA,NA,NA,NA,"http://dbpedia.org/resource/Hutchesons'_GSFP"
"2634","Q28407530","Old Aloysians RFC","rugby union club",NA,"Old Aloysians Rugby Football Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11ddxv85hf","Old_Aloysians_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Old_Aloysians_RFC"
"2635","Q28407535","Hutchesons Aloysians","rugby union club","1990-01-01","Hutchesons Aloysians RFC; Hutchesons Aloysians Rugby Football Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11c5_z6gp4","Hutchesons_Aloysians",NA,NA,NA,NA,"http://dbpedia.org/resource/Hutchesons_Aloysians"
"2638","Q28495465","Union Rugby Club de Dumbéa","rugby union team","2009-01-01",NA,NA,NA,"France",NA,NA,NA,NA,"Dumbéa",NA,"11c5zxq160",NA,"Union_Rugby_Club_de_Dumb%C3%A9a",NA,NA,NA,NA
"2642","Q28966513","Kelvinside-West","defunct rugby union club","1945-01-01","Kelvinside-West Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11c38sdsbv","Kelvinside-West",NA,NA,NA,NA,"http://dbpedia.org/resource/Kelvinside-West"
"2645","Q28966555","Stewart's College FP","defunct rugby union club",NA,"Stewart's College Former Pupils RFC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11g6rkfr55","Stewart%27s_College_FP",NA,NA,NA,NA,"http://dbpedia.org/resource/Stewart's_College_FP"
"2650","Q29458342","Wanderers Rugby Club","rugby union team","1920-02-01",NA,NA,NA,"Namibia",NA,NA,NA,NA,NA,NA,"11dxr_dq1x",NA,"Wanderers_Rugby_Club",NA,NA,NA,NA
"2652","Q29470751","Austin Huns","rugby union team","1972-01-01","Austin Huns Rugby Club; Austin Huns Rugby Football Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11dxb1x13k","Austin_Huns",NA,NA,NA,NA,"http://dbpedia.org/resource/Austin_Huns"
"2656","Q30083233","Peru national under-20 rugby union team","rugby union team",NA,NA,NA,NA,"Peru",NA,NA,NA,NA,NA,NA,"11dzdy0cjg",NA,NA,NA,"Selecci%C3%B3n_juvenil_de_rugby_de_Per%C3%BA",NA,NA
"2658","Q30593005","Hamburg Exiles RFC","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11c6spj3ff","Hamburg_Exiles_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Hamburg_Exiles_RFC"
"2659","Q30602487","Loughborough Students","rugby union team","1978-01-01",NA,NA,"Rugby Football Union","United Kingdom",NA,NA,NA,NA,NA,NA,"11g6ypcvlq","Loughborough_Lightning_(women%27s_rugby_union)","Loughborough_Lightning",NA,NA,NA,NA
"2660","Q30632741","Waterloo Ladies","rugby union team",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11dxm7vcff","Waterloo_Ladies",NA,NA,NA,NA,NA
"2661","Q30635588","Lloyds Bank RFC","rugby union team",NA,"Lloyds Bank Rugby Football Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11dylqxd52","Lloyds_Bank_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Lloyds_Bank_RFC"
"2662","Q30636459","Straits Sharks","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11dylv3tc8","Straits_Sharks",NA,NA,NA,NA,"http://dbpedia.org/resource/Straits_Sharks"
"2665","Q30681107","Albania national rugby union team","national rugby union team",NA,NA,NA,NA,"Albania",NA,NA,NA,NA,NA,NA,"11g72lj2t3","Albania_national_rugby_union_team",NA,NA,NA,NA,NA
"2666","Q30685372","Berlin Bruisers","rugby union club",NA,NA,NA,NA,"Germany",NA,NA,NA,NA,NA,NA,"11dfk_p6lt","Berlin_Bruisers",NA,NA,NA,NA,"http://dbpedia.org/resource/Berlin_Bruisers"
"2669","Q30900858","Old Christians Club","rugby union team",NA,NA,NA,NA,"Uruguay",NA,NA,NA,NA,NA,NA,"11dxl2s7_n",NA,NA,"Old_Christians_Club_(rugby)",NA,NA,NA
"2671","Q31281653","Zaharrean Rugby Taldea","rugby union team","1963-01-01",NA,NA,NA,"Spain",NA,NA,NA,NA,"San Sebastián",NA,NA,NA,NA,NA,"Zaharrean_Rugby_Taldea",NA,NA
"2672","Q31282285","Rugby Ourense Keltia","rugby union team","2014-01-01",NA,NA,NA,"Spain",NA,NA,NA,NA,"Ourense",NA,NA,NA,NA,NA,NA,NA,NA
"2681","Q39054926","Rocky Gorge Rugby","rugby union club",NA,"Rocky Gorge Rugby Football Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11g9qhc5n2","Rocky_Gorge_Rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Rocky_Gorge_Rugby"
"2685","Q39081671","Sociedad Sportiva Argentina","defunct rugby union club","1899-09-23",NA,"1914-01-01",NA,"Argentina",NA,NA,NA,NA,NA,NA,"11gb3wb1t2","Sociedad_Sportiva_Argentina",NA,NA,"Sociedad_Sportiva_Argentina",NA,NA
"2686","Q41497683","Seattle Seawolves","rugby union team","2017-01-01",NA,NA,NA,"U.S.A.",NA,NA,NA,NA,"Tukwila",NA,"11gbldwqc8","Seattle_Seawolves","Seawolves_de_Seattle","Seattle_Seawolves","Seattle_Seawolves","%E3%82%B7%E3%82%A2%E3%83%88%E3%83%AB%E3%83%BB%E3%82%B7%E3%83%BC%E3%82%A6%E3%83%AB%E3%83%96%E3%82%BA","http://dbpedia.org/resource/Seattle_Seawolves"
"2689","Q42531020","New Orleans Gold","rugby union team","2017-01-01",NA,NA,NA,"U.S.A.",NA,NA,"Archbishop Shaw High School; Shrine on Airline",NA,NA,NA,"11f19smtl_","New_Orleans_Gold","Gold_de_La_Nouvelle-Orl%C3%A9ans",NA,"New_Orleans_Gold","%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%AA%E3%83%BC%E3%83%AA%E3%83%B3%E3%82%BA%E3%83%BB%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%89","http://dbpedia.org/resource/New_Orleans_Gold"
"2690","Q42887824","Edinburgh Institution F.P.","defunct rugby union club",NA,"; Edinburgh Institution Former Pupils Rugby Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11fz0_zf85","Edinburgh_Institution_F.P.",NA,NA,NA,NA,"http://dbpedia.org/resource/Edinburgh_Institution_F.P."
"2691","Q42956124","Austin Gilgronis","rugby union team","2017-01-01",NA,NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11f2ckcwcy","Austin_Gilgronis","Gilgronis_d%27Austin",NA,"Austin_Gilgronis","%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%86%E3%82%A3%E3%83%B3%E3%83%BB%E3%82%AE%E3%83%AB%E3%82%B0%E3%83%AD%E3%83%8B%E3%82%B9","http://dbpedia.org/resource/Austin_Gilgronis"
"2692","Q43009164","rugby union club","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2693","Q43080384","Houston SaberCats","rugby union team","2017-01-01",NA,NA,NA,"U.S.A.","Major League Rugby",NA,"Aveva Stadium",NA,NA,NA,"11gbf8lsbc","Houston_SaberCats","SaberCats_de_Houston",NA,"Houston_SaberCats","%E3%83%92%E3%83%A5%E3%83%BC%E3%82%B9%E3%83%88%E3%83%B3%E3%83%BB%E3%82%BB%E3%82%A4%E3%83%90%E3%83%BC%E3%82%AD%E3%83%A3%E3%83%83%E3%83%84","http://dbpedia.org/resource/Houston_SaberCats"
"2695","Q47266251","Kenya national under-20 rugby union team","rugby union team",NA,NA,NA,NA,"Kenya",NA,NA,NA,NA,NA,NA,"11dfwypyq2",NA,"%C3%89quipe_du_Kenya_de_rugby_%C3%A0_XV_des_moins_de_20_ans",NA,"Selecci%C3%B3n_juvenil_de_rugby_de_Kenia",NA,NA
"2696","Q47327574","Tunisia national under-20 rugby union team","rugby union team",NA,NA,NA,NA,"Tunisia",NA,NA,NA,NA,NA,NA,"11f3jyd8cr",NA,NA,NA,"Selecci%C3%B3n_juvenil_de_rugby_de_T%C3%BAnez",NA,NA
"2697","Q47488335","Rugby Club Winterthur","rugby union club","2009-03-01",NA,NA,NA,"Switzerland",NA,NA,"Stadion Deutweg",NA,"Winterthur",NA,"11gfjbz0ck",NA,NA,NA,NA,NA,NA
"2701","Q48773787","Cooks Hill Rugby Club","rugby union club","2007-01-01",NA,NA,NA,"Australia",NA,NA,NA,NA,NA,NA,"11fxf5260q","Cooks_Hill_Rugby_Club",NA,NA,NA,NA,NA
"2703","Q48835249","United States national under-19 rugby union team","rugby union team",NA,NA,NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11fzd1fjdw","United_States_national_under-19_rugby_union_team",NA,NA,NA,NA,"http://dbpedia.org/resource/United_States_national_under-19_rugby_union_team"
"2705","Q48835878","Luxembourg national rugby sevens team","national rugby union team",NA,NA,NA,NA,"Luxembourg",NA,NA,NA,NA,NA,NA,"11gbk2xldz","Luxembourg_national_rugby_sevens_team",NA,NA,NA,NA,NA
"2706","Q48854703","Utah Warriors","rugby union club",NA,"Utah Warriors (Rugby Super League); Utah Warriors RUFC; Utah Warriors Rugby Union Football Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11hbqlpxrh","Utah_Warriors_(Rugby_Super_League)",NA,NA,NA,NA,"http://dbpedia.org/resource/Utah_Warriors_(Rugby_Super_League)"
"2707","Q48861120","American Raptors","rugby union team","2006-01-01","Colorado Raptors",NA,NA,"U.S.A.",NA,NA,NA,NA,"Glendale",NA,"11bc6j88n0","American_Raptors","American_Raptors",NA,"American_Raptors","%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%83%B3%E3%83%BB%E3%83%A9%E3%83%97%E3%82%BF%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Colorado_Raptors"
"2708","Q48861132","San Diego Legion","rugby union team","2017-01-01",NA,NA,NA,"U.S.A.",NA,NA,NA,NA,"San Diego",NA,"11gfm9vwj_","San_Diego_Legion","Legion_de_San_Diego",NA,"San_Diego_Legion","%E3%82%B5%E3%83%B3%E3%83%87%E3%82%A3%E3%82%A8%E3%82%B4%E3%83%BB%E3%83%AA%E3%83%BC%E3%82%B8%E3%83%A7%E3%83%B3","http://dbpedia.org/resource/San_Diego_Legion"
"2712","Q50779319","Flaming Lions Rugby Football Club","rugby union team","1999-02-26",NA,NA,NA,"Peru",NA,NA,NA,NA,NA,NA,"11f53qtkg6",NA,NA,NA,"Flaming_Lions_Rugby_Football_Club",NA,NA
"2714","Q52696564","Gijón Rugby Club","rugby union team","1995-01-01",NA,NA,NA,"Spain",NA,NA,"Hipódromo de Las Mestas",NA,NA,NA,"11g0g4v_66",NA,NA,NA,"Gij%C3%B3n_Rugby_Club",NA,NA
"2715","Q54953803","Rugby New York","rugby union team","2018-01-01",NA,NA,"USA Rugby","U.S.A.","Major League Rugby",NA,"John F. Kennedy Stadium",NA,"Brooklyn",NA,"11g0gdjfxt","Rugby_New_York","Rugby_New_York","Rugby_New_York","Rugby_New_York","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%BB%E3%83%A6%E3%83%8A%E3%82%A4%E3%83%86%E3%83%83%E3%83%89%E3%83%BB%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%A8%E3%83%BC%E3%82%AF","http://dbpedia.org/resource/Rugby_New_York"
"2716","Q55007171","Lima Rugby Club","rugby union team","1996-04-09",NA,NA,NA,"Peru",NA,NA,NA,NA,NA,NA,"11g0sltc8m",NA,NA,NA,"Lima_Rugby_Club",NA,NA
"2717","Q55098868","London South Africa RFC","defunct rugby union club","2005-01-01","London South Africa; London South Africa Rugby Football Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11f4v4vh8j","London_South_Africa_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/London_South_Africa_RFC"
"2719","Q55137438","Toronto Arrows","rugby union team","2017-08-25",NA,NA,NA,"Canada",NA,NA,NA,NA,"Toronto",NA,"11g0gdhsxm","Toronto_Arrows","Arrows_de_Toronto",NA,"Toronto_Arrows","%E3%83%88%E3%83%AD%E3%83%B3%E3%83%88%E3%83%BB%E3%82%A2%E3%83%AD%E3%83%BC%E3%82%BA","http://dbpedia.org/resource/Toronto_Arrows"
"2721","Q55178435","Jaén Rugby","rugby union team","2003-01-01",NA,NA,NA,"Spain","División de Honor B de Rugby",NA,NA,NA,"Jaén",NA,"11g0slwxm5",NA,NA,NA,"Ja%C3%A9n_Rugby",NA,NA
"2722","Q55263980","University of Michigan Rugby Football Club","rugby union team",NA,"University of Michigan",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11hd62qmcc","University_of_Michigan_Rugby_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/University_of_Michigan_Rugby_Football_Club"
"2723","Q55318047","SA Trélissac","rugby union team","1961-01-01",NA,NA,NA,"France",NA,NA,NA,NA,"Trélissac",NA,"11g18_g266",NA,"Sport_athl%C3%A9tique_tr%C3%A9lissacois",NA,NA,NA,NA
"2732","Q55627303","Odisha rugby union team","rugby union club",NA,NA,NA,NA,"India",NA,NA,NA,NA,NA,NA,"11f6gjj7p2","Odisha_rugby_union_team",NA,NA,NA,NA,"http://dbpedia.org/resource/Odisha_rugby_union_team"
"2735","Q55641528","RC Academy Tbilisi","rugby union team",NA,"Rugby Club Academy Tbilisi",NA,NA,"Georgia",NA,NA,NA,NA,NA,NA,"11clt0tjyb","RC_Academy_Tbilisi","Rugby_Club_Akademia_Tbilissi",NA,NA,NA,"http://dbpedia.org/resource/RC_Academy_Tbilisi"
"2736","Q55812022","Alumni Rugby Club","rugby union team","2000-01-01",NA,NA,NA,"Peru",NA,NA,NA,NA,NA,NA,"11f7dt7_tq",NA,NA,NA,"Alumni_Rugby_Club",NA,NA
"2737","Q56251781","Osos del Pardo Rugby Club","rugby union team",NA,NA,NA,NA,"Spain",NA,NA,NA,NA,"Madrid",NA,NA,NA,NA,NA,NA,NA,NA
"2738","Q56291293","ACS Tomitanii Constanța","rugby union club",NA,"Asociația Clubul Sportiv Tomitanii Constanța",NA,NA,"Romania",NA,NA,NA,NA,NA,NA,"11gm7gmf4c","ACS_Tomitanii_Constan%C8%9Ba",NA,NA,NA,NA,"http://dbpedia.org/resource/ACS_Tomitanii_Constanța"
"2739","Q56291299","SCM Gloria Buzău","rugby union team","2005-01-01","SCM Gloria Buzău (rugby union); Gloria Buzău; Sport Club Muncipial Gloria Buzău",NA,NA,"Romania",NA,NA,NA,NA,NA,NA,"11g4cxdz9m","SCM_Gloria_Buz%C4%83u_(rugby_union)",NA,NA,NA,NA,"http://dbpedia.org/resource/SCM_Gloria_Buzău_(rugby_union)"
"2740","Q56305829","Wydad Athletic Club","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11f61559_9",NA,"Wydad_Athletic_Club_(rugby_%C3%A0_XV)",NA,NA,NA,NA
"2742","Q56844124","Rugby Club Chilly-Mazarin","rugby union team",NA,NA,NA,NA,"France",NA,NA,"Sports complex Jesse Owens",NA,"Chilly-Mazarin",NA,"11gnrlzbqf",NA,"Rugby_Club_Chilly-Mazarin",NA,NA,NA,NA
"2743","Q58354783","Warlingham Rugby Football Club","rugby union club","1922-09-04",NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2744","Q59474562","Lausanne Université Club Rugby","rugby union team",NA,NA,NA,NA,"Switzerland",NA,NA,NA,NA,NA,NA,"11fj0_znqp",NA,"Lausanne_Universit%C3%A9_Club_Rugby",NA,NA,NA,NA
"2745","Q60619897","Berlin Grizzlies","rugby union club",NA,NA,NA,NA,"Germany",NA,NA,NA,NA,NA,NA,"11fjn2lwht",NA,NA,NA,NA,NA,NA
"2746","Q60743236","Bangladesh national rugby sevens team","national rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11gr6w3tnr","Bangladesh_national_rugby_sevens_team",NA,NA,NA,NA,NA
"2747","Q60747040","New England Free Jacks","rugby union team","2018-09-21",NA,NA,NA,"U.S.A.","Major League Rugby",NA,"Veterans Memorial Stadium","5000",NA,NA,"11fd6dj2yn","New_England_Free_Jacks","Free_Jacks_de_la_Nouvelle-Angleterre",NA,"New_England_Free_Jacks","%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E3%83%BB%E3%83%95%E3%83%AA%E3%83%BC%E3%82%B8%E3%83%A3%E3%83%83%E3%82%AF%E3%82%B9","http://dbpedia.org/resource/New_England_Free_Jacks"
"2749","Q60747726","Rugby ATL","rugby union team",NA,NA,NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11gv06p7_h",NA,"Rugby_ATL",NA,NA,"%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BCATL","http://dbpedia.org/resource/Rugby_ATL"
"2752","Q60775551","Old Glory DC","rugby union team",NA,"Old Glory DC RFC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11gt__jyr0","Old_Glory_DC","Old_Glory_DC",NA,"Old_Glory_DC","%E3%82%AA%E3%83%BC%E3%83%AB%E3%83%89%E3%82%B0%E3%83%AD%E3%83%BC%E3%83%AA%E3%83%BCDC","http://dbpedia.org/resource/Old_Glory_DC"
"2753","Q60784999","South China Tigers","rugby union club",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11h1t0zf92","South_China_Tigers",NA,NA,"South_China_Tigers",NA,"http://dbpedia.org/resource/South_China_Tigers"
"2758","Q61790123","Budo 2011 Aleksandrów Łódzki","rugby union club","2011-01-01",NA,NA,NA,"Poland",NA,NA,NA,NA,"Łódź",NA,"11h06m97nz",NA,"Budo_2011_Aleksandr%C3%B3w_%C5%81%C3%B3dzki",NA,NA,NA,NA
"2759","Q62006391","France national under-21 rugby union team","rugby union team",NA,NA,NA,NA,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2760","Q62615889","U.R. L’Aquila","rugby union team","2018-01-01",NA,NA,"Italian Rugby Federation","Italy","Serie A",NA,NA,NA,"L'Aquila",NA,NA,NA,NA,NA,NA,NA,NA
"2761","Q62911900","Belgium Rugby Barbarians XV","rugby union team","2018-01-01",NA,NA,NA,"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2766","Q64240978","Club de Rugby Santander","rugby union club","2007-01-01","Bathco Rugby Club",NA,NA,"Spain",NA,NA,NA,NA,NA,NA,"11flggt1v5","Club_de_Rugby_Santander",NA,NA,"Club_de_Rugby_Santander",NA,"http://dbpedia.org/resource/Club_de_Rugby_Santander"
"2767","Q64616117","Kagifa Samoa","rugby union team",NA,"Manuma Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11fkbdlc2f","Manuma_Samoa",NA,NA,"Manuma_Samoa",NA,"http://dbpedia.org/resource/Manuma_Samoa"
"2772","Q65042938","Milwaukee Barbarians","rugby union club",NA,"Milwaukee Barbarians Athletic Club",NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,"11hy9tr1g3","Milwaukee_Barbarians",NA,NA,NA,NA,"http://dbpedia.org/resource/Milwaukee_Barbarians"
"2773","Q65043244","Drumchapel RFC","rugby union team",NA,"Drumchapel Rugby Football Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11h7nbgrcc","Drumchapel_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Drumchapel_RFC"
"2787","Q65065510","Melville College FP","defunct rugby union club",NA,"Melville College Former Pupils Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11h6yw02tn","Melville_College_FP",NA,NA,NA,NA,"http://dbpedia.org/resource/Melville_College_FP"
"2788","Q65067838","Hawick Trades","rugby union club",NA,"Hawick Trades Rugby Football Club",NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,"11h1dnydm1","Hawick_Trades",NA,NA,NA,NA,"http://dbpedia.org/resource/Hawick_Trades"
"2790","Q65068423","Penguin International RFC","rugby union team",NA,"Penguin International Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11h77pr4rf","Penguin_International_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Penguin_International_RFC"
"2798","Q65087582","Metropolis RFC","rugby union club",NA,"Metropolis Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11h0v8yqsn","Metropolis_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Metropolis_RFC"
"2799","Q65087604","Columbus RFC","rugby union club",NA,"Columbus RFC (Ohio); Columbus Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11h0v8y_h_","Columbus_RFC_(Ohio)",NA,NA,NA,NA,"http://dbpedia.org/resource/Columbus_RFC_(Ohio)"
"2803","Q65165207","Jaguares XV","rugby union club","2019-01-01",NA,NA,NA,"Argentina","Super Liga Americana de Rugby",NA,NA,NA,NA,NA,"11h0ykp5l5",NA,NA,NA,"Jaguares_XV","%E3%83%8F%E3%82%B0%E3%82%A2%E3%83%AC%E3%82%B9XV",NA
"2805","Q65271278","Tokyo Sankyu Phoenix","rugby union team",NA,NA,NA,NA,"Japan",NA,NA,NA,NA,NA,NA,"11fk_8fh8r","Tokyo_Sankyu_Phoenix",NA,NA,NA,"%E6%9D%B1%E4%BA%AC%E5%B1%B1%E4%B9%9D%E3%83%95%E3%82%A7%E3%83%8B%E3%83%83%E3%82%AF%E3%82%B9",NA
"2806","Q65295202","Clwb Rygbi Machynlleth","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2807","Q65295409","Clwb Rygbi Cymry Caerdydd","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2809","Q66314447","Olympique de Nouméa rugby","rugby union team","1955-01-01",NA,NA,NA,"France",NA,NA,NA,NA,"Nouméa",NA,NA,NA,NA,NA,NA,NA,NA
